               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040098,            0.041101,            0.020726,             0.47499,             0.51515,               0.505,             0.19879,            0.050822,            0.030916,            0.031284,            0.002872,            0.002872,            0.002872
                  38,            0.038761,            0.040009,            0.020326,             0.48764,             0.54141,             0.51846,             0.21233,            0.050674,            0.031737,            0.032591,            0.002674,            0.002674,            0.002674
                  39,            0.039078,             0.04064,            0.019281,             0.50655,             0.48716,             0.53591,             0.19805,            0.050799,            0.030925,             0.03272,            0.002476,            0.002476,            0.002476
                  40,            0.037561,            0.040439,            0.018396,             0.49646,             0.48739,             0.53491,             0.21326,            0.050458,            0.030774,            0.031698,            0.002278,            0.002278,            0.002278
                  41,            0.038606,            0.037728,             0.01879,             0.48237,             0.50795,             0.51905,             0.21426,            0.051119,            0.031071,            0.032653,             0.00208,             0.00208,             0.00208
                  42,            0.037832,            0.037608,            0.018214,             0.49668,             0.50062,             0.50413,             0.20565,            0.051395,            0.031287,            0.031719,            0.001882,            0.001882,            0.001882
                  43,            0.036957,            0.038104,            0.017376,             0.49782,             0.47175,              0.5083,             0.20852,            0.051474,            0.031464,            0.032908,            0.001684,            0.001684,            0.001684
                  44,            0.037521,            0.039484,            0.018672,             0.47897,             0.53434,             0.54055,             0.21448,            0.050941,             0.03139,            0.032516,            0.001486,            0.001486,            0.001486
                  45,            0.037181,             0.03883,            0.018731,             0.47632,             0.51856,             0.52551,             0.22264,            0.052126,            0.031237,            0.032677,            0.001288,            0.001288,            0.001288
                  46,            0.036851,             0.03985,            0.017917,             0.52801,             0.47585,             0.52237,             0.21275,            0.051913,            0.031076,            0.032444,             0.00109,             0.00109,             0.00109
                  47,            0.035322,            0.038055,            0.017269,              0.4926,             0.51161,             0.51991,             0.20107,            0.051742,             0.03099,            0.032332,            0.000892,            0.000892,            0.000892
                  48,            0.035371,            0.038304,            0.016819,             0.48369,             0.50208,             0.52283,              0.2033,            0.051359,            0.031052,            0.031693,            0.000694,            0.000694,            0.000694
                  49,            0.035506,            0.038013,            0.016935,             0.49924,             0.52719,             0.54194,             0.22174,            0.050873,            0.031032,            0.031455,            0.000496,            0.000496,            0.000496
